2026-02-25 04:53:30.249 [main] INFO  com.cryptorate.CryptoRateApplication - Starting CryptoRateApplication using Java 17.0.10 with PID 26600 (C:\Users\ASUS\Desktop\毕业设计\CryptoRate\target\classes started by ASUS in C:\Users\ASUS\Desktop\毕业设计\CryptoRate)
2026-02-25 05:01:51.489 [http-nio-8080-exec-9] INFO  com.cryptorate.controller.RateController - 接收到获取币种列表请求
2026-02-25 05:01:51.489 [http-nio-8080-exec-9] INFO  com.cryptorate.service.RateService - 获取系统支持的币种
2026-02-25 05:01:51.494 [http-nio-8080-exec-10] INFO  com.cryptorate.controller.StatsController - 接收到获取统计摘要请求，币种: BTC, 范围: 7d
2026-02-25 05:01:51.495 [http-nio-8080-exec-10] INFO  com.cryptorate.service.StatsService - 获取统计摘要，币种: BTC, 范围: 7d
2026-02-25 05:01:51.495 [http-nio-8080-exec-9] INFO  com.cryptorate.service.RateService - 共支持 388 个币种
2026-02-25 05:01:51.513 [http-nio-8080-exec-4] INFO  com.cryptorate.controller.RateController - 接收到获取最新汇率请求，筛选币种: null
2026-02-25 05:01:51.513 [http-nio-8080-exec-4] INFO  com.cryptorate.service.RateService - 获取最新实时汇率，筛选币种: null
2026-02-25 05:01:51.958 [scheduling-1] DEBUG com.cryptorate.scheduler.RateScheduler - [定时任务] scheduler.enabled=false，本次定时同步已跳过
2026-02-25 05:01:55.658 [http-nio-8080-exec-6] INFO  com.cryptorate.controller.RateController - 接收到搜索币种请求，关键词: B
2026-02-25 05:01:55.658 [http-nio-8080-exec-6] INFO  com.cryptorate.service.RateService - 搜索币种，关键词: B
2026-02-25 05:01:55.664 [http-nio-8080-exec-6] INFO  com.cryptorate.service.RateService - 搜索到 50 个匹配币种
2026-02-25 05:01:56.258 [http-nio-8080-exec-5] INFO  com.cryptorate.controller.RateController - 接收到搜索币种请求，关键词: BT
2026-02-25 05:01:56.259 [http-nio-8080-exec-5] INFO  com.cryptorate.service.RateService - 搜索币种，关键词: BT
2026-02-25 05:01:56.262 [http-nio-8080-exec-5] INFO  com.cryptorate.service.RateService - 搜索到 16 个匹配币种
2026-02-25 05:01:56.588 [http-nio-8080-exec-1] INFO  com.cryptorate.controller.RateController - 接收到搜索币种请求，关键词: BTC
2026-02-25 05:01:56.589 [http-nio-8080-exec-1] INFO  com.cryptorate.service.RateService - 搜索币种，关键词: BTC
2026-02-25 05:01:56.593 [http-nio-8080-exec-1] INFO  com.cryptorate.service.RateService - 搜索到 4 个匹配币种
2026-02-25 05:01:59.561 [http-nio-8080-exec-9] INFO  com.cryptorate.controller.RateController - 接收到获取最新汇率请求，筛选币种: null
2026-02-25 05:01:59.561 [http-nio-8080-exec-9] INFO  com.cryptorate.service.RateService - 获取最新实时汇率，筛选币种: null
2026-02-25 05:01:59.566 [http-nio-8080-exec-3] INFO  com.cryptorate.controller.StatsController - 接收到获取统计摘要请求，币种: BTCA, 范围: 7d
2026-02-25 05:01:59.566 [http-nio-8080-exec-4] INFO  com.cryptorate.controller.RateController - 接收到查询历史汇率请求，币种: BTCA, 时间范围: 2026-02-18 - 2026-02-25
2026-02-25 05:01:59.568 [http-nio-8080-exec-3] INFO  com.cryptorate.service.StatsService - 获取统计摘要，币种: BTCA, 范围: 7d
2026-02-25 05:01:59.568 [http-nio-8080-exec-4] INFO  com.cryptorate.service.RateService - 查询历史汇率，币种: BTCA, 开始: 2026-02-18, 结束: 2026-02-25
2026-02-25 05:02:00.391 [http-nio-8080-exec-6] INFO  com.cryptorate.controller.RateController - 接收到获取最新汇率请求，筛选币种: null
2026-02-25 05:02:00.392 [http-nio-8080-exec-6] INFO  com.cryptorate.service.RateService - 获取最新实时汇率，筛选币种: null
2026-02-25 05:02:00.397 [http-nio-8080-exec-1] INFO  com.cryptorate.controller.RateController - 接收到查询历史汇率请求，币种: BTCS, 时间范围: 2026-02-18 - 2026-02-25
2026-02-25 05:02:00.397 [http-nio-8080-exec-8] INFO  com.cryptorate.controller.StatsController - 接收到获取统计摘要请求，币种: BTCS, 范围: 7d
2026-02-25 05:02:00.397 [http-nio-8080-exec-1] INFO  com.cryptorate.service.RateService - 查询历史汇率，币种: BTCS, 开始: 2026-02-18, 结束: 2026-02-25
2026-02-25 05:02:00.397 [http-nio-8080-exec-8] INFO  com.cryptorate.service.StatsService - 获取统计摘要，币种: BTCS, 范围: 7d
2026-02-25 05:02:00.811 [http-nio-8080-exec-10] INFO  com.cryptorate.controller.RateController - 接收到获取最新汇率请求，筛选币种: null
2026-02-25 05:02:00.811 [http-nio-8080-exec-10] INFO  com.cryptorate.service.RateService - 获取最新实时汇率，筛选币种: null
2026-02-25 05:02:00.816 [http-nio-8080-exec-3] INFO  com.cryptorate.controller.RateController - 接收到查询历史汇率请求，币种: BTCZ, 时间范围: 2026-02-18 - 2026-02-25
2026-02-25 05:02:00.816 [http-nio-8080-exec-9] INFO  com.cryptorate.controller.StatsController - 接收到获取统计摘要请求，币种: BTCZ, 范围: 7d
2026-02-25 05:02:00.816 [http-nio-8080-exec-3] INFO  com.cryptorate.service.RateService - 查询历史汇率，币种: BTCZ, 开始: 2026-02-18, 结束: 2026-02-25
2026-02-25 05:02:00.816 [http-nio-8080-exec-9] INFO  com.cryptorate.service.StatsService - 获取统计摘要，币种: BTCZ, 范围: 7d
2026-02-25 05:02:01.751 [http-nio-8080-exec-1] INFO  com.cryptorate.controller.StatsController - 接收到获取统计摘要请求，币种: BTC, 范围: 7d
2026-02-25 05:02:01.751 [http-nio-8080-exec-5] INFO  com.cryptorate.controller.RateController - 接收到获取最新汇率请求，筛选币种: null
2026-02-25 05:02:01.751 [http-nio-8080-exec-7] INFO  com.cryptorate.controller.RateController - 接收到查询历史汇率请求，币种: BTC, 时间范围: 2026-02-18 - 2026-02-25
2026-02-25 05:02:01.751 [http-nio-8080-exec-5] INFO  com.cryptorate.service.RateService - 获取最新实时汇率，筛选币种: null
2026-02-25 05:02:01.751 [http-nio-8080-exec-1] INFO  com.cryptorate.service.StatsService - 获取统计摘要，币种: BTC, 范围: 7d
2026-02-25 05:02:01.751 [http-nio-8080-exec-7] INFO  com.cryptorate.service.RateService - 查询历史汇率，币种: BTC, 开始: 2026-02-18, 结束: 2026-02-25
2026-02-25 05:02:21.484 [http-nio-8080-exec-8] INFO  com.cryptorate.controller.RateController - 接收到获取最新汇率请求，筛选币种: null
2026-02-25 05:02:21.484 [http-nio-8080-exec-8] INFO  com.cryptorate.service.RateService - 获取最新实时汇率，筛选币种: null
2026-02-25 05:02:32.082 [http-nio-8080-exec-6] INFO  com.cryptorate.controller.RateController - 接收到获取最新汇率请求，筛选币种: null
2026-02-25 05:02:32.082 [http-nio-8080-exec-6] INFO  com.cryptorate.service.RateService - 获取最新实时汇率，筛选币种: null
2026-02-25 05:02:51.479 [http-nio-8080-exec-9] INFO  com.cryptorate.controller.RateController - 接收到获取最新汇率请求，筛选币种: null
2026-02-25 05:02:51.479 [http-nio-8080-exec-9] INFO  com.cryptorate.service.RateService - 获取最新实时汇率，筛选币种: null
2026-02-25 05:03:02.094 [http-nio-8080-exec-6] INFO  com.cryptorate.controller.RateController - 接收到获取最新汇率请求，筛选币种: null
2026-02-25 05:03:02.094 [http-nio-8080-exec-6] INFO  com.cryptorate.service.RateService - 获取最新实时汇率，筛选币种: null
2026-02-25 05:03:21.477 [http-nio-8080-exec-2] INFO  com.cryptorate.controller.RateController - 接收到获取最新汇率请求，筛选币种: null
2026-02-25 05:03:21.477 [http-nio-8080-exec-2] INFO  com.cryptorate.service.RateService - 获取最新实时汇率，筛选币种: null
2026-02-25 05:03:32.086 [http-nio-8080-exec-9] INFO  com.cryptorate.controller.RateController - 接收到获取最新汇率请求，筛选币种: null
2026-02-25 05:03:32.087 [http-nio-8080-exec-9] INFO  com.cryptorate.service.RateService - 获取最新实时汇率，筛选币种: null
